Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location,Street Direction,Street Number,Street Name,Street Type
3617 Joseph Campau,11002780-1,Able Demolition,18180.00,Non-HHF,08/19/2019,No,5,McDougall-Hunt,42.357781,-83.032172,"location
(42.357781, -83.032172)",,3617,JOSEPH CAMPAU,St
457 Erle,01005500.,Leadhead Construction,28678.32,HHF,08/19/2019,No,2,Grixdale Farms,42.424571,-83.108035,"location
(42.424571, -83.108035)",,457,ERLE,St
4462 Lillibridge,21042776.,Able Demolition,18483.00,Non-HHF,08/19/2019,No,4,West End,42.383175,-82.983897,"location
(42.383175, -82.983897)",,4462,LILLIBRIDGE,St
11706 Meyers,18018714.,Homrich,30233.23,HHF,08/19/2019,No,7,Grand River-I96,42.374814,-83.167853,"location
(42.374814, -83.167853)",,11706,MEYERS,Rd
18546 Hull,09019774.,Rickman Enterprise Group,16063.34,HHF,08/19/2019,No,3,Hawthorne Park,42.42877,-83.088462,"location
(42.42877, -83.088462)",,18546,HULL,St
13522 Sorrento,22023469.,Homrich,20568.42,HHF,08/19/2019,No,7,Grand River-I96,42.386182,-83.171631,"location
(42.386182, -83.171631)",,13522,SORRENTO,St
7587 E Hildale,15004657.,Able Demolition,31783.13,HHF,08/19/2019,No,3,Grant,42.430475,-83.025684,"location
(42.430475, -83.025684)",E,7587,HILDALE,St
10030 Nottingham,21066546.,DMC Consultants,14770.00,HHF,08/19/2019,No,4,Outer Drive-Hayes,42.412387,-82.952641,"location
(42.412387, -82.952641)",,10030,NOTTINGHAM,Rd
15753 Mark Twain,22037235.,Homrich,25736.12,HHF,08/19/2019,No,1,Bethune Community,42.406677,-83.187143,"location
(42.406677, -83.187143)",,15753,MARK TWAIN,St
13117 Appoline,22021806.,Homrich,20921.42,HHF,08/19/2019,No,7,Grand River-I96,42.383669,-83.169941,"location
(42.383669, -83.169941)",,13117,APPOLINE,
5664 23rd St,12008198.,DMC Consultants,15753.00,Non-HHF,08/16/2019,No,5,Midwest,42.351136,-83.102793,"location
(42.351136, -83.102793)",,5664,23RD ST,St
7521 Iowa,15004154.,Smalley,22000.75,HHF,08/16/2019,No,3,Grant,42.425341,-83.02579,"location
(42.425341, -83.02579)",,7521,IOWA,St
7465 Iowa,15004145.,Smalley,17946.75,HHF,08/16/2019,No,3,Grant,42.425319,-83.026828,"location
(42.425319, -83.026828)",,7465,IOWA,St
7435 Iowa,15004141.,Smalley,32194.75,HHF,08/16/2019,No,3,Grant,42.424876,-83.027175,"location
(42.424876, -83.027175)",,7435,IOWA,St
15450 Hubbell,22039047.002,Homrich,14709.48,HHF,08/16/2019,No,1,Bethune Community,42.404297,-83.188679,"location
(42.404297, -83.188679)",,15450,HUBBELL,St
15481 Ardmore,22035209.,Homrich,18041.47,HHF,08/16/2019,No,1,Bethune Community,42.404935,-83.184912,"location
(42.404935, -83.184912)",,15481,ARDMORE,St
11745 Appoline,22021860.,Homrich,26113.23,HHF,08/16/2019,No,7,Pride Area Community,42.375212,-83.169813,"location
(42.375212, -83.169813)",,11745,APPOLINE,
7493 Iowa,15004150.,Smalley,15922.75,HHF,08/16/2019,No,3,Grant,42.42533,-83.026323,"location
(42.42533, -83.026323)",,7493,IOWA,St
18817 Helen,15009398.,Smalley,12524.75,HHF,08/16/2019,No,3,Grant,42.432327,-83.031943,"location
(42.432327, -83.031943)",,18817,HELEN,St
12332 Sorrento,22023428.,Homrich,18226.23,HHF,08/16/2019,No,7,Pride Area Community,42.379351,-83.171718,"location
(42.379351, -83.171718)",,12332,SORRENTO,St
440 Cottrell,18009200.,Gayanga Co,50100.00,Non-HHF,08/16/2019,Yes,6,Delray,42.297608,-83.111143,"location
(42.297608, -83.111143)",,440,COTTRELL,St
8303 Lane,20003315.,Gayanga Co,80550.00,Non-HHF,08/16/2019,Yes,6,Springwells,42.306258,-83.126941,"location
(42.306258, -83.126941)",,8303,LANE,St
7870 Concord,15011027.,Gayanga Co,14404.00,Non-HHF,08/15/2019,No,3,Airport Sub,42.389446,-83.030675,"location
(42.389446, -83.030675)",,7870,CONCORD,St
13549 Trinity,22108952.,Salenbien Trucking & Excavating Inc.,20002.60,HHF,08/15/2019,No,1,Brightmoor,42.3845,-83.247963,"location
(42.3845, -83.247963)",,13549,TRINITY,St
11709 Sorrento,22024309.,Homrich,17760.43,HHF,08/15/2019,No,7,Pride Area Community,42.374718,-83.172269,"location
(42.374718, -83.172269)",,11709,SORRENTO,St
6865 Covert,15003424.,Able Demolition,17624.24,HHF,08/15/2019,No,3,Grant,42.420431,-83.030351,"location
(42.420431, -83.030351)",,6865,COVERT,St
5658 23rd St,12008197.,DMC Consultants,18560.00,Non-HHF,08/15/2019,No,5,Midwest,42.351061,-83.102745,"location
(42.351061, -83.102745)",,5658,23RD ST,St
12010 Steel,22022157.,Homrich,32298.43,HHF,08/15/2019,No,7,Pride Area Community,42.375814,-83.170346,"location
(42.375814, -83.170346)",,12010,STEEL,St
14525 Hubbell,22040047.,Homrich,14996.93,HHF,08/15/2019,No,1,Hubbell-Lyndon,42.394939,-83.188915,"location
(42.394939, -83.188915)",,14525,HUBBELL,St
12959 Sorrento,22024254.,Homrich,19014.62,HHF,08/15/2019,No,7,Grand River-I96,42.383001,-83.17209,"location
(42.383001, -83.17209)",,12959,SORRENTO,St
18518 Hull,09019770.,Rickman Enterprise Group,12520.34,HHF,08/15/2019,No,3,Hawthorne Park,42.4284,-83.088445,"location
(42.4284, -83.088445)",,18518,HULL,St
6745 Varjo,15004222.,Able Demolition,32142.89,HHF,08/15/2019,No,3,Grant,42.425954,-83.032749,"location
(42.425954, -83.032749)",,6745,VARJO,St
13551 Blackstone,22109508.,Salenbien Trucking & Excavating Inc.,10172.60,HHF,08/14/2019,No,1,Brightmoor,42.384477,-83.249094,"location
(42.384477, -83.249094)",,13551,BLACKSTONE,St
21127 Orchard,22014256.,Homrich,19087.50,HHF,08/14/2019,No,1,Holcomb Community,42.417793,-83.249722,"location
(42.417793, -83.249722)",,21127,ORCHARD,St
18431 Helen,15009429.,Smalley,27399.75,HHF,08/14/2019,No,3,Grant,42.42904,-83.031783,"location
(42.42904, -83.031783)",,18431,HELEN,St
18451 Helen,15009426.,Smalley,23084.75,HHF,08/14/2019,No,3,Grant,42.429299,-83.031798,"location
(42.429299, -83.031798)",,18451,HELEN,St
7589 Quinn,15004724.,Able Demolition,24350.94,HHF,08/14/2019,No,3,Grant,42.431379,-83.025732,"location
(42.431379, -83.025732)",,7589,QUINN,St
9351 Woodlawn,19003040.,Gayanga Co,19002.00,Non-HHF,08/14/2019,No,3,Airport Sub,42.39964,-83.012019,"location
(42.39964, -83.012019)",,9351,WOODLAWN,Ave
6800 Covert,15003387.,Able Demolition,19453.55,HHF,08/14/2019,No,3,Grant,42.419964,-83.031477,"location
(42.419964, -83.031477)",,6800,COVERT,St
18198 Hull,09019766.,Rickman Enterprise Group,19951.34,HHF,08/14/2019,No,3,Hawthorne Park,42.427857,-83.088413,"location
(42.427857, -83.088413)",,18198,HULL,St
9605 Archdale,22072093.,Homrich,29262.60,HHF,08/14/2019,No,7,Joy Community,42.366624,-83.215826,"location
(42.366624, -83.215826)",,9605,ARCHDALE,St
6802 Brimson,15003506.,Able Demolition,23207.32,HHF,08/14/2019,No,3,Grant,42.421597,-83.031567,"location
(42.421597, -83.031567)",,6802,BRIMSON,St
14377 Robson,22044297.,Homrich,17547.93,HHF,08/14/2019,No,1,Hubbell-Lyndon,42.39277,-83.192766,"location
(42.39277, -83.192766)",,14377,ROBSON,St
11731 Sorrento,22024306.,Homrich,14808.43,HHF,08/14/2019,No,7,Pride Area Community,42.375054,-83.172282,"location
(42.375054, -83.172282)",,11731,SORRENTO,St
18653 Helen,15009410.,Smalley,14343.75,HHF,08/14/2019,No,3,Grant,42.430999,-83.031891,"location
(42.430999, -83.031891)",,18653,HELEN,St
18511 Helen,15009418.,Smalley,18566.75,HHF,08/14/2019,No,3,Grant,42.430034,-83.031841,"location
(42.430034, -83.031841)",,18511,HELEN,St
18624 Helen,15009127.,Smalley,21266.75,HHF,08/14/2019,No,3,Grant,42.430631,-83.031233,"location
(42.430631, -83.031233)",,18624,HELEN,St
15748 Ardmore,22034671.,Homrich,19852.12,HHF,08/13/2019,No,2,Bethune Community,42.406461,-83.184404,"location
(42.406461, -83.184404)",,15748,ARDMORE,St
15702 Ardmore,22034663.,Homrich,24926.13,HHF,08/13/2019,No,2,Bethune Community,42.405693,-83.184365,"location
(42.405693, -83.184365)",,15702,ARDMORE,St
18416 Concord,15011117.,Smalley,22658.75,HHF,08/13/2019,No,3,Grant,42.428818,-83.032268,"location
(42.428818, -83.032268)",,18416,CONCORD,St
9320 Montrose,22052892.,Salenbien Trucking & Excavating Inc.,22383.63,HHF,08/13/2019,No,7,Joy Community,42.363856,-83.199029,"location
(42.363856, -83.199029)",,9320,MONTROSE,St
5316 Spokane,16003115.,Gayanga Co,27990.00,Non-HHF,08/13/2019,No,6,Midwest,42.35824,-83.128036,"location
(42.35824, -83.128036)",,5316,SPOKANE,St
17545 Gable,13012675.,Smalley,125.00,HHF,08/13/2019,No,3,Davison,42.423698,-83.042574,"location
(42.423698, -83.042574)",,17545,GABLE,St
13946 Coyle,22044857.,Homrich,26171.93,HHF,08/13/2019,No,1,Cadillac Community,42.387933,-83.194189,"location
(42.387933, -83.194189)",,13946,COYLE,St
13973 Westwood,22089995.,Homrich,21984.63,HHF,08/13/2019,No,1,Westwood Park,42.387526,-83.232386,"location
(42.387526, -83.232386)",,13973,WESTWOOD,St
6773 Covert,15003414.,Able Demolition,18600.50,HHF,08/13/2019,No,3,Grant,42.420395,-83.031991,"location
(42.420395, -83.031991)",,6773,COVERT,St
9926 Archdale,22071015.,Homrich,20356.59,HHF,08/13/2019,No,7,Joy Community,42.367964,-83.215175,"location
(42.367964, -83.215175)",,9926,ARCHDALE,St
18421 Gable,13012637.,Smalley,22042.75,HHF,08/13/2019,No,3,Grant,42.428264,-83.042815,"location
(42.428264, -83.042815)",,18421,GABLE,St
6852 Drake,15003430.,Able Demolition,18547.58,HHF,08/13/2019,No,3,Grant,42.420794,-83.030642,"location
(42.420794, -83.030642)",,6852,DRAKE,Rd
18138 Cardoni,09021114.,Rickman Enterprise Group,17570.33,HHF,08/13/2019,No,3,Hawthorne Park,42.426969,-83.090809,"location
(42.426969, -83.090809)",,18138,CARDONI,St
17154 Gable,13012341.,Smalley,21683.75,HHF,08/13/2019,No,3,Davison,42.419947,-83.042014,"location
(42.419947, -83.042014)",,17154,GABLE,St
19160 Carrie,15008274.,Smalley,29588.75,HHF,08/13/2019,No,3,Nortown,42.434827,-83.030471,"location
(42.434827, -83.030471)",,19160,CARRIE,St
18145 Fleming,09014828.,DMC Consultants,16800.00,Non-HHF,08/13/2019,No,3,Northeast Central District,42.427847,-83.079452,"location
(42.427847, -83.079452)",,18145,FLEMING,St
17577 Gable,13012670.,Smalley,15904.75,HHF,08/13/2019,No,3,Davison,42.424108,-83.042611,"location
(42.424108, -83.042611)",,17577,GABLE,St
15711 Freeland,22036193.,Homrich,18403.47,HHF,08/12/2019,No,1,Bethune Community,42.405749,-83.185949,"location
(42.405749, -83.185949)",,15711,FREELAND,St
1141 E Nevada,09006889.,Rickman Enterprise Group,15968.33,HHF,08/12/2019,No,3,Hawthorne Park,42.425217,-83.091459,"location
(42.425217, -83.091459)",E,1141,NEVADA,St
9988 Archdale,22071024.,Homrich,20516.59,HHF,08/12/2019,No,7,Joy Community,42.368849,-83.215181,"location
(42.368849, -83.215181)",,9988,ARCHDALE,St
6740 Covert,15003395.,Able Demolition,17370.73,HHF,08/12/2019,No,3,Grant,42.419939,-83.032534,"location
(42.419939, -83.032534)",,6740,COVERT,St
9940 Archdale,22071017.,Homrich,18894.59,HHF,08/12/2019,No,7,Joy Community,42.368155,-83.21518,"location
(42.368155, -83.21518)",,9940,ARCHDALE,St
12046 Archdale,22071076.,Homrich,16457.60,HHF,08/12/2019,No,7,Plymouth-I96,42.375172,-83.215425,"location
(42.375172, -83.215425)",,12046,ARCHDALE,St
8115 Artesian,22085455.,Homrich,19592.60,HHF,08/12/2019,No,7,Warrendale,42.35215,-83.226353,"location
(42.35215, -83.226353)",,8115,ARTESIAN,St
6757 Covert,15003411.,Able Demolition,18409.92,HHF,08/12/2019,No,3,Grant,42.420389,-83.032274,"location
(42.420389, -83.032274)",,6757,COVERT,St
6705 Drake,15003453.,Able Demolition,16019.55,HHF,08/12/2019,No,3,Grant,42.421193,-83.033301,"location
(42.421193, -83.033301)",,6705,DRAKE,Rd
6762 Drake,15003442.,Able Demolition,30456.69,HHF,08/12/2019,No,3,Grant,42.420758,-83.032187,"location
(42.420758, -83.032187)",,6762,DRAKE,Rd
12020 Archdale,22071072.,Homrich,19810.60,HHF,08/09/2019,No,7,Plymouth-I96,42.374788,-83.215406,"location
(42.374788, -83.215406)",,12020,ARCHDALE,St
12728 Roselawn,16030170.,Gayanga Co,15490.00,Non-HHF,08/09/2019,No,7,Littlefield Community,42.382821,-83.150357,"location
(42.382821, -83.150357)",,12728,ROSELAWN,St
6190 Wabash,08008955.,Gayanga Co,12741.88,Non-HHF,08/09/2019,No,5,Elijah McCoy,42.361162,-83.091752,"location
(42.361162, -83.091752)",,6190,WABASH,St
9338 Woodlawn,19002947.,Gayanga Co,23801.00,Non-HHF,08/09/2019,No,3,Airport Sub,42.399156,-83.012175,"location
(42.399156, -83.012175)",,9338,WOODLAWN,Ave
3916 St Aubin,09004541-2,Gayanga Co,31136.00,Non-HHF,08/09/2019,No,5,McDougall-Hunt,42.35758,-83.039523,"location
(42.35758, -83.039523)",,3916,ST AUBIN,St
12673 Robson,22044395.,Homrich,22708.62,HHF,08/09/2019,No,1,Schoolcraft Southfield,42.381076,-83.192681,"location
(42.381076, -83.192681)",,12673,ROBSON,St
8261 Stahelin,22083925.,Homrich,23552.60,HHF,08/09/2019,No,7,Warrendale,42.353189,-83.225088,"location
(42.353189, -83.225088)",,8261,STAHELIN,Ave
5474 15th St,10005545-6,Blue Star,27030.00,HHF,08/09/2019,No,5,NW Goldberg,42.353751,-83.090304,"location
(42.353751, -83.090304)",,5474,15TH ST,St
7784 Grandville,22088131.,Homrich,20035.60,HHF,08/09/2019,No,7,Warrendale,42.349474,-83.229173,"location
(42.349474, -83.229173)",,7784,GRANDVILLE,Ave
2726 Fullerton,10003809.,DMC Consultants,16521.00,Non-HHF,08/09/2019,No,5,Dexter-Linwood,42.387956,-83.121365,"location
(42.387956, -83.121365)",,2726,FULLERTON,St
1621 E Nevada,09006918.,Rickman Enterprise Group,21255.33,HHF,08/08/2019,No,3,Hawthorne Park,42.425344,-83.08691,"location
(42.425344, -83.08691)",E,1621,NEVADA,St
5059 Three Mile Dr,21071272.,Salenbien Trucking & Excavating Inc.,52330.25,HHF,08/08/2019,No,4,Morningside,42.403097,-82.940823,"location
(42.403097, -82.940823)",,5059,THREE MILE DR,Dr
7476 Emily,15004458.,Smalley,17379.75,HHF,08/08/2019,No,3,Grant,42.427508,-83.027823,"location
(42.427508, -83.027823)",,7476,EMILY,St
20265 Concord,15011290.,Smalley,16541.75,HHF,08/08/2019,No,3,Sherwood,42.445786,-83.032902,"location
(42.445786, -83.032902)",,20265,CONCORD,St
6752 Brimson,15003512.,Able Demolition,20010.57,HHF,08/08/2019,No,3,Grant,42.421585,-83.032404,"location
(42.421585, -83.032404)",,6752,BRIMSON,St
9541 Longacre,22070760.,Homrich,21415.60,HHF,08/08/2019,No,7,Joy Community,42.365779,-83.214604,"location
(42.365779, -83.214604)",,9541,LONGACRE,St
20530 Concord,15011270.,Smalley,21822.75,HHF,08/08/2019,No,3,Sherwood,42.447795,-83.03296,"location
(42.447795, -83.03296)",,20530,CONCORD,St
7621 Emily,15004498.,Smalley,28731.75,HHF,08/08/2019,No,3,Grant,42.428044,-83.02499,"location
(42.428044, -83.02499)",,7621,EMILY,St
6581 Frontenac,15007840.,Gayanga Co,15955.00,Non-HHF,08/08/2019,No,3,Airport Sub,42.38619,-83.028293,"location
(42.38619, -83.028293)",,6581,FRONTENAC,St
7701 Concord,15011529-30,Gayanga Co,16092.00,Non-HHF,08/08/2019,No,3,Airport Sub,42.387091,-83.03121,"location
(42.387091, -83.03121)",,7701,CONCORD,St
6720 Brimson,15003517.,Able Demolition,500.00,HHF,08/08/2019,No,3,Grant,42.421574,-83.032982,"location
(42.421574, -83.032982)",,6720,BRIMSON,St
12651 Mansfield,22057889.,Homrich,24691.63,HHF,08/08/2019,No,1,Schoolcraft Southfield,42.380724,-83.204234,"location
(42.380724, -83.204234)",,12651,MANSFIELD,St
6840 Covert,15003382.,Smalley,15733.75,HHF,08/08/2019,No,3,Grant,42.419978,-83.030755,"location
(42.419978, -83.030755)",,6840,COVERT,St
13432 Moenart,13015616.,Able Demolition,21239.44,HHF,08/08/2019,No,3,Davison,42.415859,-83.049345,"location
(42.415859, -83.049345)",,13432,MOENART,St
1133 E Nevada,09006888.,Rickman Enterprise Group,11290.33,HHF,08/08/2019,No,3,Hawthorne Park,42.425214,-83.09157,"location
(42.425214, -83.09157)",E,1133,NEVADA,St
18505 Dwyer,13012005.,Smalley,26072.75,HHF,08/08/2019,No,3,Grant,42.429445,-83.041793,"location
(42.429445, -83.041793)",,18505,DWYER,St
12800 Whitcomb,22047347.,Homrich,21995.62,HHF,08/08/2019,No,1,Schoolcraft Southfield,42.382361,-83.195219,"location
(42.382361, -83.195219)",,12800,WHITCOMB,St
18651 Concord,15011412.,Smalley,19466.75,HHF,08/08/2019,No,3,Grant,42.43092,-83.033061,"location
(42.43092, -83.033061)",,18651,CONCORD,St
13726 Moenart,13015634.,Able Demolition,22055.52,HHF,08/08/2019,No,3,Davison,42.417549,-83.049385,"location
(42.417549, -83.049385)",,13726,MOENART,St
6156 Frontenac,15007762.,Gayanga Co,19095.00,Non-HHF,08/08/2019,No,5,Gratiot Town/Ketterring,42.38323,-83.024889,"location
(42.38323, -83.024889)",,6156,FRONTENAC,St
6036 Hartford,14011385.,DMC Consultants,14327.00,Non-HHF,08/08/2019,No,6,Midwest,42.348577,-83.112974,"location
(42.348577, -83.112974)",,6036,HARTFORD,St
127 W Robinwood,01006487.,"Adamo Group, Inc.",22000.00,Non-HHF,08/07/2019,No,2,Grixdale Farms,42.429612,-83.104755,"location
(42.429612, -83.104755)",W,127,ROBINWOOD,St
17908 Cliff,15006381.,Smalley,125.00,HHF,08/07/2019,No,3,Grant,42.426066,-83.027743,"location
(42.426066, -83.027743)",,17908,CLIFF,St
8154 Chalfonte,16006170.,Blue Star,23063.00,HHF,08/07/2019,No,2,Chalfonte,42.400547,-83.1509,"location
(42.400547, -83.1509)",,8154,CHALFONTE,St
18060 Russell,09020621.,Rickman Enterprise Group,17899.33,HHF,08/07/2019,No,3,Hawthorne Park,42.425909,-83.089544,"location
(42.425909, -83.089544)",,18060,RUSSELL,St
6750 Drake,15003444.,Able Demolition,18859.87,HHF,08/07/2019,No,3,Grant,42.420754,-83.032409,"location
(42.420754, -83.032409)",,6750,DRAKE,Rd
17850 Cliff,15006379.,Smalley,14902.75,HHF,08/07/2019,No,3,Grant,42.425733,-83.027731,"location
(42.425733, -83.027731)",,17850,CLIFF,St
11331 Longacre,22070716.,Homrich,24807.60,HHF,08/07/2019,No,7,Joy Community,42.370419,-83.21473,"location
(42.370419, -83.21473)",,11331,LONGACRE,St
19449 Carrie,15008444.,Smalley,25437.75,HHF,08/07/2019,No,3,Nortown,42.438011,-83.031209,"location
(42.438011, -83.031209)",,19449,CARRIE,St
9946 Archdale,22071018.,Homrich,22709.59,HHF,08/07/2019,No,7,Joy Community,42.368252,-83.215165,"location
(42.368252, -83.215165)",,9946,ARCHDALE,St
17900 Cliff,15006380.,Smalley,19026.75,HHF,08/07/2019,No,3,Grant,42.42597,-83.02774,"location
(42.42597, -83.02774)",,17900,CLIFF,St
9601 Plainview,22094625.,Homrich,21329.60,HHF,08/07/2019,No,7,Franklin Park,42.366207,-83.235226,"location
(42.366207, -83.235226)",,9601,PLAINVIEW,Ave
17840 Cliff,15006378.,Smalley,17495.75,HHF,08/07/2019,No,3,Grant,42.425635,-83.027726,"location
(42.425635, -83.027726)",,17840,CLIFF,St
5124 Grandy,11003685.,DMC Consultants,27300.00,Non-HHF,08/07/2019,No,5,Poletown East,42.36764,-83.039212,"location
(42.36764, -83.039212)",,5124,GRANDY,St
12060 Archdale,22071078.,Homrich,19813.60,HHF,08/07/2019,No,7,Plymouth-I96,42.375364,-83.215434,"location
(42.375364, -83.215434)",,12060,ARCHDALE,St
18075 Riopelle,09018869.,Rickman Enterprise Group,15846.33,HHF,08/07/2019,No,3,Hawthorne Park,42.426194,-83.086599,"location
(42.426194, -83.086599)",,18075,RIOPELLE,St
13420 Buffalo,13014639.,Able Demolition,28240.55,HHF,08/07/2019,No,3,Davison,42.415736,-83.047359,"location
(42.415736, -83.047359)",,13420,BUFFALO,St
13780 Bloom,13015139.,Able Demolition,16094.70,HHF,08/07/2019,No,3,Davison,42.418308,-83.048411,"location
(42.418308, -83.048411)",,13780,BLOOM,St
8425 Plainview,22094720.,Homrich,22987.60,HHF,08/07/2019,No,7,Warrendale,42.354384,-83.234928,"location
(42.354384, -83.234928)",,8425,PLAINVIEW,Ave
9171 Rutherford,22056729.021L,Smalley,15432.00,HHF,08/06/2019,No,7,Joy Community,42.361791,-83.202871,"location
(42.361791, -83.202871)",,9171,RUTHERFORD,St
18185 Riopelle,09018853.,Rickman Enterprise Group,15808.33,HHF,08/06/2019,No,3,Hawthorne Park,42.427729,-83.086674,"location
(42.427729, -83.086674)",,18185,RIOPELLE,St
13493 SYRACUSE,13013951.,Able Demolition,22632.02,HHF,08/06/2019,No,3,Davison,42.416781,-83.04496,"location
(42.416781, -83.04496)",,13493,SYRACUSE,St
9063 Greenview,22080565-6,Homrich,17118.60,HHF,08/06/2019,No,7,Franklin Park,42.360401,-83.222927,"location
(42.360401, -83.222927)",,9063,GREENVIEW,Ave
12074 Archdale,22071080.,Homrich,23293.60,HHF,08/06/2019,No,7,Plymouth-I96,42.375556,-83.215443,"location
(42.375556, -83.215443)",,12074,ARCHDALE,St
13732 Sparling,13014051.,Able Demolition,18581.22,HHF,08/06/2019,No,3,Davison,42.41771,-83.045422,"location
(42.41771, -83.045422)",,13732,SPARLING,St
9647 Plainview,22094622.005,Homrich,21950.59,HHF,08/06/2019,No,7,Franklin Park,42.366828,-83.235244,"location
(42.366828, -83.235244)",,9647,PLAINVIEW,Ave
9114 Prevost,22054865.012,Smalley,22389.00,HHF,08/06/2019,No,7,Joy Community,42.360898,-83.201031,"location
(42.360898, -83.201031)",,9114,PREVOST,St
9122 Prevost,22054865.013,Smalley,20813.00,HHF,08/06/2019,No,7,Joy Community,42.36104,-83.201037,"location
(42.36104, -83.201037)",,9122,PREVOST,St
9960 Archdale,22071020.,Homrich,19641.59,HHF,08/06/2019,No,7,Joy Community,42.368444,-83.21517,"location
(42.368444, -83.21517)",,9960,ARCHDALE,St
13468 Fenelon,13016887.,Able Demolition,30374.68,HHF,08/06/2019,No,3,Davison,42.416273,-83.052509,"location
(42.416273, -83.052509)",,13468,FENELON,St
11740 Archdale,22071069.,Homrich,21987.60,HHF,08/06/2019,No,7,Plymouth-I96,42.374335,-83.215387,"location
(42.374335, -83.215387)",,11740,ARCHDALE,St
9534 Montrose,22052903.,Smalley,29557.00,HHF,08/06/2019,No,7,Joy Community,42.365924,-83.199364,"location
(42.365924, -83.199364)",,9534,MONTROSE,St
9631 Plainview,22094622.007L,Homrich,20250.59,HHF,08/06/2019,No,7,Franklin Park,42.366565,-83.235236,"location
(42.366565, -83.235236)",,9631,PLAINVIEW,Ave
9916 Whitcomb,22047264.,Smalley,15156.00,HHF,08/06/2019,No,7,Plymouth-Hubbell,42.368219,-83.194866,"location
(42.368219, -83.194866)",,9916,WHITCOMB,St
14103 Burgess,22112438.,Salenbien Trucking & Excavating Inc.,29150.43,HHF,08/06/2019,No,1,Brightmoor,42.38845,-83.25426,"location
(42.38845, -83.25426)",,14103,BURGESS,St
9910 Prest,22048479.,Smalley,18010.00,HHF,08/06/2019,No,7,Plymouth-Hubbell,42.368108,-83.19597,"location
(42.368108, -83.19597)",,9910,PREST,St
12206 Longacre,22070382.,Homrich,27123.60,HHF,08/06/2019,No,7,Plymouth-I96,42.376983,-83.214305,"location
(42.376983, -83.214305)",,12206,LONGACRE,St
9964 Archdale,22071021.,Homrich,23850.59,HHF,08/06/2019,No,7,Joy Community,42.36854,-83.215173,"location
(42.36854, -83.215173)",,9964,ARCHDALE,St
9384 Winthrop,22051606.,Smalley,14126.00,HHF,08/06/2019,No,7,Joy Community,42.364759,-83.197976,"location
(42.364759, -83.197976)",,9384,WINTHROP,St
18104 Cardoni,09021108.,Rickman Enterprise Group,15201.33,HHF,08/05/2019,No,3,Hawthorne Park,42.42651,-83.090787,"location
(42.42651, -83.090787)",,18104,CARDONI,St
15060 Littlefield,22026772.,Smalley,30555.00,HHF,08/05/2019,No,2,Bethune Community,42.400829,-83.175484,"location
(42.400829, -83.175484)",,15060,LITTLEFIELD,St
12650 Robson,22043547.,Homrich,20755.93,HHF,08/05/2019,No,1,Schoolcraft Southfield,42.380766,-83.191955,"location
(42.380766, -83.191955)",,12650,ROBSON,St
5113 Vinewood,14009031.,Gayanga Co,33640.00,Non-HHF,08/05/2019,No,6,Chadsey Condon,42.345043,-83.106643,"location
(42.345043, -83.106643)",,5113,VINEWOOD,St
11380 Archdale,22071045.,Homrich,22472.60,HHF,08/05/2019,No,7,Joy Community,42.371084,-83.215237,"location
(42.371084, -83.215237)",,11380,ARCHDALE,St
11701 Vaughan,22098491.,Homrich,17262.60,HHF,08/05/2019,No,7,Weatherby,42.373398,-83.237937,"location
(42.373398, -83.237937)",,11701,VAUGHAN,St
12130 Archdale,22071088.,Homrich,22283.60,HHF,08/05/2019,No,7,Plymouth-I96,42.376324,-83.21548,"location
(42.376324, -83.21548)",,12130,ARCHDALE,St
14157 Trinity,22108912.,Salenbien Trucking & Excavating Inc.,32969.43,HHF,08/05/2019,No,1,Brightmoor,42.389309,-83.248112,"location
(42.389309, -83.248112)",,14157,TRINITY,St
12217 Rutland,22068951.,Homrich,18935.60,HHF,08/05/2019,No,7,Plymouth-I96,42.377094,-83.213785,"location
(42.377094, -83.213785)",,12217,RUTLAND,St
13732 Caldwell,13014189-90,Able Demolition,26544.76,HHF,08/05/2019,No,3,Davison,42.417709,-83.046412,"location
(42.417709, -83.046412)",,13732,CALDWELL,St
12956 Artesian,22084536-7,Homrich,18211.62,HHF,08/05/2019,No,1,Schoolcraft Southfield,42.38403,-83.226683,"location
(42.38403, -83.226683)",,12956,ARTESIAN,St
4264 Cabot,20007801.,Gayanga Co,24003.00,Non-HHF,08/05/2019,No,6,Claytown,42.326248,-83.146669,"location
(42.326248, -83.146669)",,4264,CABOT,St
14563 Sussex,22046788.,Smalley,29825.00,HHF,08/05/2019,No,1,Hubbell-Lyndon,42.395348,-83.195084,"location
(42.395348, -83.195084)",,14563,SUSSEX,St
19547 Alcoy,21015773.,Able Demolition,27460.21,HHF,08/05/2019,No,3,Pulaski,42.43917,-82.989267,"location
(42.43917, -82.989267)",,19547,ALCOY,St
2748 Meade,09005799.,Smalley,16720.00,HHF,08/02/2019,No,3,Campau/Banglatown,42.409168,-83.067005,"location
(42.409168, -83.067005)",,2748,MEADE,St
13940 Westwood,22089458.,Homrich,20954.63,HHF,08/02/2019,No,1,Westwood Park,42.387074,-83.231708,"location
(42.387074, -83.231708)",,13940,WESTWOOD,St
