Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location,Street Direction,Street Number,Street Name,Street Type
17646 Trinity,22108609.,"Adamo Group, Inc.",22394.00,HHF,09/25/2015,No,1,Holcomb Community,42.420966,-83.24866,"location
(42.420966, -83.24866)",,17646,TRINITY,St
19209 Westbrook,22110020.,ABC Demolition,11138.40,HHF,09/25/2015,No,1,Evergreen Lahser 7/8,42.430925,-83.252665,"location
(42.430925, -83.252665)",,19209,WESTBROOK,St
19176 Rosemont,22076637.,"Adamo Group, Inc.",5879.00,HHF,09/25/2015,No,1,O'Hair Park,42.431159,-83.221439,"location
(42.431159, -83.221439)",,19176,ROSEMONT,Ave
19401 Westbrook,22110004.,ABC Demolition,12038.40,HHF,09/25/2015,No,1,Evergreen Lahser 7/8,42.433021,-83.252761,"location
(42.433021, -83.252761)",,19401,WESTBROOK,St
14149 Coyle,22045551.,Homrich,37200.00,HHF,09/24/2015,No,1,Cadillac Community,42.390303,-83.194277,"location
(42.390303, -83.194277)",,14149,COYLE,St
8295 Patton,22104856.,"Adamo Group, Inc.",13001.00,HHF,09/24/2015,No,7,Warrendale,42.353349,-83.242247,"location
(42.353349, -83.242247)",,8295,PATTON,St
18420 Patton,22104119.,"Adamo Group, Inc.",11024.00,HHF,09/24/2015,No,1,Holcomb Community,42.424673,-83.244863,"location
(42.424673, -83.244863)",,18420,PATTON,St
12915 Penrod,22077990.,"Adamo Group, Inc.",10222.00,HHF,09/24/2015,No,1,Schoolcraft Southfield,42.383628,-83.221266,"location
(42.383628, -83.221266)",,12915,PENROD,St
14011 Forrer,22054552.,Homrich,24600.00,HHF,09/24/2015,No,1,Greenfield-Grand River,42.388614,-83.201687,"location
(42.388614, -83.201687)",,14011,FORRER,St
4044 Carter,14003138.,Rickman Enterprise Group,26840.00,Non-HHF,09/24/2015,No,5,Petoskey-Otsego,42.365786,-83.118625,"location
(42.365786, -83.118625)",,4044,CARTER,St
15703 W Grand River,22007091.,Rickman Enterprise Group,24090.00,Non-HHF,09/24/2015,Yes,1,Greenfield-Grand River,42.393257,-83.200641,"location
(42.393257, -83.200641)",W,15703,GRAND RIVER,Ave
13967 Westwood,22089996-7,"Adamo Group, Inc.",18334.00,HHF,09/24/2015,No,1,Westwood Park,42.387409,-83.232381,"location
(42.387409, -83.232381)",,13967,WESTWOOD,St
1099 Meldrum,15013838.,Brown Environmental Construction,13444.00,Non-HHF,09/24/2015,No,5,Islandview,42.348629,-83.012111,"location
(42.348629, -83.012111)",,1099,MELDRUM,St
6826 Ashton,22074689.,"Adamo Group, Inc.",21767.00,HHF,09/24/2015,No,7,Warrendale,42.341557,-83.216779,"location
(42.341557, -83.216779)",,6826,ASHTON,Ave
2024 Pasadena,08004728.,"Adamo Group, Inc.",20890.00,HHF,09/24/2015,No,2,Oakman Blvd Community,42.397976,-83.117083,"location
(42.397976, -83.117083)",,2024,PASADENA,St
18560 Patton,22104137.,"Adamo Group, Inc.",18039.00,HHF,09/24/2015,No,1,Holcomb Community,42.426602,-83.244919,"location
(42.426602, -83.244919)",,18560,PATTON,St
14503 Terry,22043071.,Homrich,30900.00,HHF,09/24/2015,No,1,Hubbell-Lyndon,42.394565,-83.191855,"location
(42.394565, -83.191855)",,14503,TERRY,St
3728 Gladstone,14003204.,Rickman Enterprise Group,16910.00,Non-HHF,09/24/2015,No,5,Petoskey-Otsego,42.367415,-83.116619,"location
(42.367415, -83.116619)",,3728,GLADSTONE,St
14008 Westwood,22089468.,"Adamo Group, Inc.",19893.00,HHF,09/24/2015,No,1,Westwood Park,42.388007,-83.231739,"location
(42.388007, -83.231739)",,14008,WESTWOOD,St
12921 Penrod,22077989.,"Adamo Group, Inc.",9702.00,HHF,09/24/2015,No,1,Schoolcraft Southfield,42.383737,-83.221271,"location
(42.383737, -83.221271)",,12921,PENROD,St
13463 Dwyer,13012092.,"Adamo Group, Inc.",17760.00,HHF,09/24/2015,No,3,Davison,42.416424,-83.040883,"location
(42.416424, -83.040883)",,13463,DWYER,St
4238 Larchmont,14001781.,"Adamo Group, Inc.",22205.00,HHF,09/24/2015,No,6,Midwest,42.356475,-83.113922,"location
(42.356475, -83.113922)",,4238,LARCHMONT,St
18918 Riverview,22121907.,ABC Demolition,10633.33,HHF,09/23/2015,No,1,Seven Mile-Rouge,42.426985,-83.274927,"location
(42.426985, -83.274927)",,18918,RIVERVIEW,St
4849 Thompson Ct,13010126.,"Adamo Group, Inc.",9113.00,HHF,09/23/2015,No,5,McDougall-Hunt,42.368794,-83.030955,"location
(42.368794, -83.030955)",,4849,THOMPSON CT,Ct
15817 Stoepel,16019552.,Homrich,23200.00,HHF,09/23/2015,No,2,Fitzgerald/Marygrove,42.407832,-83.141842,"location
(42.407832, -83.141842)",,15817,STOEPEL,St
19451 Woodbine,22122898.002,ABC Demolition,16428.03,HHF,09/23/2015,No,1,Five Points,42.433822,-83.279614,"location
(42.433822, -83.279614)",,19451,WOODBINE,St
20524 Monica,16021497.,Homrich,29700.00,HHF,09/23/2015,No,2,Garden Homes,42.445414,-83.144871,"location
(42.445414, -83.144871)",,20524,MONICA,St
20426 Griggs,16041366.,Homrich,27100.00,HHF,09/23/2015,No,2,Pembroke,42.443646,-83.164377,"location
(42.443646, -83.164377)",,20426,GRIGGS,St
11704 Westwood,22089417.013,"Adamo Group, Inc.",15797.00,HHF,09/23/2015,No,7,Weatherby,42.373576,-83.23109,"location
(42.373576, -83.23109)",,11704,WESTWOOD,
13576 Westwood,22089442-3,"Adamo Group, Inc.",11925.00,HHF,09/23/2015,No,1,Schoolcraft Southfield,42.38518,-83.231564,"location
(42.38518, -83.231564)",,13576,WESTWOOD,St
14400 Faircrest,21018775.,"313 Construction, LLC",15673.12,HHF,09/23/2015,No,4,Mapleridge,42.431845,-82.975004,"location
(42.431845, -82.975004)",,14400,FAIRCREST,St
